KER,EPI,DRM,DEJ
255.0,164.0,240.0,244.0
144.0,159.0,251.0,253.0
251.0,159.0,250.0,231.0
251.0,170.0,251.0,237.0
252.0,168.0,236.0,235.0
53.0,157.0,249.0,234.0
251.0,173.0,240.0,223.0
251.0,176.0,234.0,169.0
251.0,171.0,250.0,232.0
251.0,183.0,223.0,228.0
251.0,165.0,249.0,213.0
251.0,158.0,251.0,226.0
251.0,162.0,226.0,158.0
251.0,177.0,253.0,225.0
,163.0,255.0,238.0
,161.0,233.0,229.0
,159.0,255.0,250.0
,151.0,255.0,250.0
,168.0,250.0,254.0
,163.0,251.0,
,159.0,251.0,
,,250.0,
