KER,EPI,DRM,DEJ
254,158,234,242
130,162,252,249
255,162,251,236
255,171,253,236
53,166,240,240
54,174,251,236
253,174,239,234
255,174,231,184
253,169,251,229
255,177,228,231
253,162,251,212
253,159,255,219
252,161,224,161
255,179,250,222
,164,252,254
,167,232,228
,162,252,254
,161,252,252
,165,252,251
,165,252,
,156,255,
,,254,
,,,
,,,
,,,
,,,
216.428571428571,166.095238095238,245.954545454545,230
